Name,EAN/UPC,Brand,Model Type,Model Number,Category,Sub-Category,Brand Color,Color,Compatible Device,Type (Name),Type,Microphone,Warranty,Warranty Summary,Description,Image1,Image2,Image3,Image4,Image5,Image6,Image7,Video URL,Sales Package,Quantity,Tax,Price,Wholesale Price,Firstsale Price,Special Price From,Special Price To,Height,Depth,Weight,Meta Title,Meta Description,Meta Keyword,Key Features
B&O Beoplay H8 Wireless Headphone - Gray Hazel,5.70526E+12,B&O,Beoplay H8 Wireless,,Earphones & Headphones,Wireless Headphones,Gray Hazel,Black,Phone,Headphone,"On The Ear, Stereo, Noice Cancelling",With Microphone,2 Years Warranty,,"Premium wireless, active noise cancellation on-ear headphone. Up to 14 hours with Bluetooth and ANC and up to 16 hours with Bluetooth.",B&O_Beoplay_H8_Wireless_Headphone_Gray_Hazel_1.jpeg,B&O_Beoplay_H8_Wireless_Headphone_Gray_Hazel_2.jpeg,B&O_Beoplay_H8_Wireless_Headphone_Gray_Hazel_3.jpeg,B&O_Beoplay_H8_Wireless_Headphone_Gray_Hazel_4.jpeg,B&O_Beoplay_H8_Wireless_Headphone_Gray_Hazel_5.jpeg,B&O_Beoplay_H8_Wireless_Headphone_Gray_Hazel_6.jpeg,B&O_Beoplay_H8_Wireless_Headphone_Gray_Hazel_7.jpeg,,1,1,5,39990,,,,,,,,,,,
B&O Beoplay H8 Wireless Headphone - Argilla Bright,5.70526E+12,B&O,Beoplay H8 Wireless,,Earphones & Headphones,Wireless Headphones,Argilla Bright,Cream,Phone,Headphone,"On The Ear, Stereo, Noice Cancelling",With Microphone,2 Years Warranty,,"Premium wireless, active noise cancellation on-ear headphone. Up to 14 hours with Bluetooth and ANC and up to 16 hours with Bluetooth.",B&O_Beoplay_H8_Wireless_Headphone_Argilla_Bright_1.jpeg,B&O_Beoplay_H8_Wireless_Headphone_Argilla_Bright_2.jpeg,B&O_Beoplay_H8_Wireless_Headphone_Argilla_Bright_3.jpeg,B&O_Beoplay_H8_Wireless_Headphone_Argilla_Bright_4.jpeg,B&O_Beoplay_H8_Wireless_Headphone_Argilla_Bright_5.jpeg,B&O_Beoplay_H8_Wireless_Headphone_Argilla_Bright_6.jpeg,B&O_Beoplay_H8_Wireless_Headphone_Argilla_Bright_7.jpeg,,1,1,5,39990,,,,,,,,,,,
B&O Beoplay H6 Headphone - Black,5.70526E+12,B&O,Beoplay H6,,Earphones & Headphones,Headphones,Black,Black,Phone,Headphone,"On The Ear, Stereo, Noice Cancelling",With Microphone,2 Years Warranty,,Authentic and well-balanced sound experience from elegant over-ear headphone.,B&O_Beoplay_H6_Headphone_Black_1.jpeg,B&O_Beoplay_H6_Headphone_Black_2.jpeg,B&O_Beoplay_H6_Headphone_Black_3.jpeg,B&O_Beoplay_H6_Headphone_Black_4.jpeg,B&O_Beoplay_H6_Headphone_Black_5.jpeg,B&O_Beoplay_H6_Headphone_Black_6.jpeg,B&O_Beoplay_H6_Headphone_Black_7.jpeg,,1,1,5,34990,,,,,,,,,,,
B&O Beoplay H6 Headphone - Natural,5.70526E+12,B&O,Beoplay H6,,Earphones & Headphones,Headphones,Natural,Brown,Phone,Headphone,"Over The Ear, Stereo",With Microphone,2 Years Warranty,,Authentic and well-balanced sound experience from elegant over-ear headphone.,B&O_Beoplay_H6_Headphone_Natural_1.jpeg,B&O_Beoplay_H6_Headphone_Natural_2.jpeg,B&O_Beoplay_H6_Headphone_Natural_3.jpeg,B&O_Beoplay_H6_Headphone_Natural_4.jpeg,B&O_Beoplay_H6_Headphone_Natural_5.jpeg,B&O_Beoplay_H6_Headphone_Natural_6.jpeg,B&O_Beoplay_H6_Headphone_Natural_7.jpeg,,1,1,5,34990,,,,,,,,,,,
B&O Beoplay H6 Headphone - Black Golden,5.70526E+12,B&O,Beoplay H6,,Earphones & Headphones,Headphones,Black Golden,Black,Phone,Headphone,"Over The Ear, Stereo",With Microphone,2 Years Warranty,,Authentic and well-balanced sound experience from elegant over-ear headphone.,B&O_Beoplay_H6_Headphone_Black_Golden_1.jpeg,B&O_Beoplay_H6_Headphone_Black_Golden_2.jpeg,B&O_Beoplay_H6_Headphone_Black_Golden_3.jpeg,B&O_Beoplay_H6_Headphone_Black_Golden_4.jpeg,B&O_Beoplay_H6_Headphone_Black_Golden_5.jpeg,B&O_Beoplay_H6_Headphone_Black_Golden_6.jpeg,B&O_Beoplay_H6_Headphone_Black_Golden_7.jpeg,,1,1,5,34990,,,,,,,,,,,
B&O Beoplay H2 Headphone - Carbon Blue,5.70526E+12,B&O,Beoplay H2,,Earphones & Headphones,Headphones,Carbon Blue,Blue,Phone,Headphone,"On The Ear, Stereo",With Microphone,2 Years Warranty,,"Flexible, on-ear headphone with superior sound - and microphone and remote for hassle-free control.",B&O_Beoplay_H2_Headphone_Carbon_Blue_1.jpeg,B&O_Beoplay_H2_Headphone_Carbon_Blue_2.jpeg,B&O_Beoplay_H2_Headphone_Carbon_Blue_3.jpeg,B&O_Beoplay_H2_Headphone_Carbon_Blue_4.jpeg,B&O_Beoplay_H2_Headphone_Carbon_Blue_5.jpeg,B&O_Beoplay_H2_Headphone_Carbon_Blue_6.jpeg,B&O_Beoplay_H2_Headphone_Carbon_Blue_7.jpeg,,1,1,5,14990,,,,,,,,,,,
B&O Beoplay H2 Headphone - Feldspar Green,5.70526E+12,B&O,Beoplay H2,,Earphones & Headphones,Headphones,Feldspar Green,Green,"Apple Phones, Apple Ipods, Apple Ipads, Samsung Phones",Headphone,"On The Ear, Stereo",With Microphone,2 Years Warranty,,"Flexible, on-ear headphone with superior sound - and microphone and remote for hassle-free control.",B&O_Beoplay_H2_Headphone_Feldspar_Green_1.jpeg,B&O_Beoplay_H2_Headphone_Feldspar_Green_2.jpeg,B&O_Beoplay_H2_Headphone_Feldspar_Green_3.jpeg,B&O_Beoplay_H2_Headphone_Feldspar_Green_4.jpeg,B&O_Beoplay_H2_Headphone_Feldspar_Green_5.jpeg,B&O_Beoplay_H2_Headphone_Feldspar_Green_6.jpeg,B&O_Beoplay_H2_Headphone_Feldspar_Green_7.jpeg,,1,1,5,14990,,,,,,,,,,,
B&O Beoplay H2 Headphone - Silver Cloud ,5.70526E+12,B&O,Beoplay H2,,Earphones & Headphones,Headphones,Silver Cloud ,White,"Apple Phones, Apple Ipods, Apple Ipads, Samsung Phones",Headphone,"On The Ear, Stereo",With Microphone,2 Years Warranty,,"Flexible, on-ear headphone with superior sound - and microphone and remote for hassle-free control.",B&O_Beoplay_H2_Headphone_Silver_Cloud _1.jpeg,B&O_Beoplay_H2_Headphone_Silver_Cloud _2.jpeg,B&O_Beoplay_H2_Headphone_Silver_Cloud _3.jpeg,B&O_Beoplay_H2_Headphone_Silver_Cloud _4.jpeg,B&O_Beoplay_H2_Headphone_Silver_Cloud _5.jpeg,B&O_Beoplay_H2_Headphone_Silver_Cloud _6.jpeg,B&O_Beoplay_H2_Headphone_Silver_Cloud _7.jpeg,,1,1,5,14990,,,,,,,,,,,
B&O Form 2 Headphone - Orange,5.70526E+12,B&O,Form 2,,Earphones & Headphones,Headphones,Orange,Orange,"Apple Phones, Apple Ipods, Apple Ipads, Samsung Phones",Headphone,"On The Ear, Stereo",Without Microphone,,,Sleek and ultra-light headphone with impressive sound.,B&O_Form_2_Headphone_Orange_1.jpeg,B&O_Form_2_Headphone_Orange_2.jpeg,B&O_Form_2_Headphone_Orange_3.jpeg,B&O_Form_2_Headphone_Orange_4.jpeg,B&O_Form_2_Headphone_Orange_5.jpeg,B&O_Form_2_Headphone_Orange_6.jpeg,B&O_Form_2_Headphone_Orange_7.jpeg,,1,1,5,10200,,,,,,,,,,,
B&O Form 2 Headphone - Yellow,5.70526E+12,B&O,Form 2,,Earphones & Headphones,Headphones,Yellow,Yellow,"Apple Phones, Apple Ipods, Apple Ipads, Samsung Phones",Headphone,"On The Ear, Stereo",Without Microphone,,,Sleek and ultra-light headphone with impressive sound.,B&O_Form_2_Headphone_Yellow_1.jpeg,B&O_Form_2_Headphone_Yellow_2.jpeg,B&O_Form_2_Headphone_Yellow_3.jpeg,B&O_Form_2_Headphone_Yellow_4.jpeg,B&O_Form_2_Headphone_Yellow_5.jpeg,B&O_Form_2_Headphone_Yellow_6.jpeg,B&O_Form_2_Headphone_Yellow_7.jpeg,,1,1,5,10200,,,,,,,,,,,
